Monthly_Production,State of Production,Yearly_Export_Import(dollar)
"[702000 449000 408000 726000 616000 303000 457000 477000 808000 2222000
 1219000 674000]","{'Chhattisgarh': array([702000, 449000, 408000, 726000, 616000, 303000, 457000, 477000,
       808000, 2222000, 1219000, 674000], dtype=object)}",[11.079999999999998 243.86]
"[1059000 993000 584000 567000 466000 351000 523000 1150000 1618000 2275000
 1137000 893000]","{'Chhattisgarh': array([1059000, 993000, 584000, 567000, 466000, 351000, 523000, 1150000,
       1618000, 2275000, 1137000, 893000], dtype=object)}",[9.82 223.70000000000002]
"[1771000 1929000 1159000 633000 487000 1115000 807000 994000 586000
 1350000 1042000 505000]","{'Chhattisgarh': array([1771000, 1929000, 1159000, 633000, 487000, 1115000, 807000, 994000,
       586000, 1350000, 1042000, 505000], dtype=object)}",[9.809999999999999 212.08999999999997]
"[900000 836000 359000 288000 283000 278000 246000 302000 544000 1710000
 983000 636000]","{'Chhattisgarh': array([836000, 900000, 359000, 288000, 283000, 278000, 246000, 302000,
       544000, 1710000, 983000, 636000], dtype=object)}",[9.93 197.92]
"[1267000 1015000 1860000 480000 355000 319000 261000 269000 630000 4680000
 2911000 2637000]","{'Chhattisgarh': array([1267000, 1015000, 1860000, 480000, 355000, 319000, 261000, 269000,
       630000, 4680000, 2911000, 2637000], dtype=object)}",[19.32 379.86]
"[6280000 8094000 5201000 3174000 3061000 3564000 2881000 6464000 12198000
 7281000 2020000 1838000]","{'Chhattisgarh': array([6280000, 8094000, 5201000, 3174000, 3061000, 3564000, 2881000,
       6464000, 12198000, 7281000, 2020000, 1838000], dtype=object)}",[11.41 400.4]
"[3423000 2628000 3318000 1462000 1591000 1703000 991000 1391000 830000
 4133000 2465000 1170000]","{'Chhattisgarh': array([3423000, 2628000, 3318000, 1462000, 1591000, 1703000, 991000,
       1391000, 830000, 4133000, 2465000, 1170000], dtype=object)}",[17.29 339.12999999999994]
"[1229000 126000 250000 184000 280000 296000 350000 514000 169000 272000
 215000 222000]","{'Chhattisgarh': array([1229000, 126000, 250000, 184000, 280000, 296000, 350000, 514000,
       169000, 272000, 215000, 222000], dtype=object)}",[22.86 494.33]
"[3559000 2972000 1038000 468000 3559000 2972000 998000 2952000 4199000 0 0
 0]","{'Chhattisgarh': array([3559000, 2972000, 1362000, 468000, 1574000, 2010000, 998000,
       2952000, 4199000, 0, 0, 0], dtype=object)}",[]
