Monthly_Production,State of Production,Yearly_Export_Import(dollar)
"[6739000 8264000 5168000 2043000 1942000 2012000 1987000 2387000 2718000
 1922000 1218000 1634000]","{'Chhattisgarh': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Jharkhand': array([1190000, 1220000, 1095000, 910000, 745000, 1260000, 1335000,
       1370000, 1310000, 1920000, 1060000, 1325000], dtype=object), 'Karnataka': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Kerala': array([480000, 2000000, 0, 0, 400000, 0, 0, 400000, 400000, 0, 0, 0],
      dtype=object), 'Odisha': array([692000, 547000, 545000, 1133000, 797000, 752000, 652000, 617000,
       1008000, 2000, 158000, 309000], dtype=object), 'Tamil Nadu': array([4377000, 4497000, 3528000, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object)}",[40.01 120.03999999999999]
"[2514000 2650000 2540000 2699000 3603000 2704000 2504000 1210000 3324000
 4200000 3588000 3640000]","{'Chhattisgarh': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Jharkhand': array([2047000, 1905000, 1817000, 1478000, 1738000, 1615000, 1108000,
       478000, 2132000, 1644000, 1935000, 1746000], dtype=object), 'Karnataka': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Kerala': array([0, 0, 0, 400000, 1200000, 320000, 800000, 0, 0, 0, 0, 0],
      dtype=object), 'Odisha': array([603000, 609000, 723000, 821000, 665000, 769000, 596000, 732000,
       1192000, 2556000, 1705000, 1842000], dtype=object), 'Tamil Nadu': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object)}",[54.41 129.15]
"[2077000 3328000 4838000 7217000 6917000 5774000 5579000 2667000 3342000
 3456000 2887000 2395000]","{'Chhattisgarh': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Jharkhand': array([286000, 1129000, 2204000, 1797000, 1531000, 975000, 1088000,
       1162000, 918000, 1300000, 2254000, 1766000], dtype=object), 'Karnataka': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Kerala': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Odisha': array([1791000, 2199000, 2634000, 5420000, 5386000, 4799000, 8481000,
       1505000, 2424000, 2156000, 633000, 629000], dtype=object), 'Tamil Nadu': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object)}",[50.6 95.28999999999999]
"[7053000 6963000 3255000 214000 2334000 6454000 5114000 4244000 2795000
 5525000 3948000 6843000]","{'Chhattisgarh': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Jharkhand': array([2617000, 3933000, 1039000, 0, 0, 1541000, 1140000, 0, 0, 0, 597000,
       618000], dtype=object), 'Karnataka': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Kerala': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Odisha': array([4436000, 3030000, 2216000, 214000, 1001000, 1743000, 1677000,
       4244000, 2795000, 5525000, 3361000, 944000], dtype=object), 'Tamil Nadu': array([0, 0, 0, 0, 1333000, 3170000, 2297000, 0, 0, 0, 0, 0], dtype=object)}",[38.62 97.64999999999999]
"[6715000 7503000 8355000 8080000 4742000 6570000 6907000 8316000 6445000
 7755000 6916000 4191000]","{'Chhattisgarh': array([490000, 545000, 730000, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Jharkhand': array([1377000, 302000, 219000, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Karnataka': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Kerala': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Odisha': array([4848000, 5060000, 4941000, 5560000, 4456000, 3271000, 2768000,
       5617000, 3445000, 4806000, 5280000, 3818000], dtype=object), 'Tamil Nadu': array([0, 1596000, 2465000, 2520000, 286000, 3299000, 4139000, 2699000,
       3000000, 2949000, 1636000, 373000], dtype=object)}",[55.470000000000006 144.64]
"[7304000 5057000 21980000 13601000 12127000 12860000 31040000 13283000
 8743000 10290000 11213000 13095000]","{'Chhattisgarh': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Jharkhand': array([0, 23000, 0, 0, 0, 59000, 18000, 1855000, 1231000, 1281000,
       1484000, 556000], dtype=object), 'Karnataka': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Kerala': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Odisha': array([3928000, 1581000, 18061000, 8759000, 7727000, 8400000, 5810000,
       6595000, 3290000, 4975000, 6197000, 8040000], dtype=object), 'Tamil Nadu': array([3376000, 3453000, 3919000, 4842000, 4400000, 4401000, 4248000,
       4897000, 4222000, 4034000, 3532000, 4499000], dtype=object)}",[53.04 185.6]
"[12840000 23068000 21283000 12859000 17044000 16226000 522707000 697887000
 11724000 12289000 15597000 19352000]","{'Chhattisgarh': array([0, 0, 0, 0, 0, 612000, 0, 0, 0, 78000, 0, 0], dtype=object), 'Jharkhand': array([632000, 2375000, 1188000, 2001000, 1548000, 1083000, 940000,
       335000, 639000, 1039000, 1495000, 3556000], dtype=object), 'Karnataka': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Kerala': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Odisha': array([8577000, 14693000, 14598000, 6364000, 9995000, 8302000, 5026000,
       3376000, 6290000, 5975000, 8695000, 10900000], dtype=object), 'Tamil Nadu': array([3631000, 6000000, 5497000, 4494000, 5501000, 6229000, 6495000,
       5377000, 4795000, 5197000, 5407000, 4896000], dtype=object)}",[59.96 165.53]
"[24142000 29441000 44336000 6282000 8863000 7040000 10354000 10091000
 9240000 12200000 13372000 12807000]","{'Chhattisgarh': array([0, 627000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Jharkhand': array([3217000, 3622000, 73000, 89000, 0, 0, 0, 0, 0, 0, 90000, 175000],
      dtype=object), 'Karnataka': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Kerala': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Odisha': array([18223000, 21692000, 44263000, 6193000, 8863000, 6800000, 7643000,
       7382000, 6651000, 10077000, 10089000, 9662000], dtype=object), 'Tamil Nadu': array([2702000, 3500000, 0, 0, 0, 240000, 2712000, 2709000, 2589000,
       2123000, 3193000, 2970000], dtype=object)}",[62.33 146.83]
"[13882000 13256000 15778000 11424000 13882000 13256000 12532000 12608000
 13364000 0 0 0]","{'Chhattisgarh': array([0, 0, 0, 0, 0, 0, 0, 0, 23000, 0, 0, 0], dtype=object), 'Jharkhand': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Karnataka': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Kerala': array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=object), 'Odisha': array([9995000, 10374000, 12996000, 8018000, 7174000, 7272000, 7325000,
       7717000, 8196000, 0, 0, 0], dtype=object), 'Tamil Nadu': array([3887000, 2882000, 2782000, 3406000, 3296000, 2980000, 5207000,
       4891000, 5145000, 0, 0, 0], dtype=object)}",[]
