Monthly_Production,State of Production,Yearly_Export_Import(dollar)
"[200572000 236919000 1028360000 76298000 139067000 180515000 154238000
 271929000 605470000 277133000 495343000 405505000]","{'Madhya Pradesh': array([3014000, 6710000, 8499000, 3222000, 10110000, 5653000, 8281000,
       13573000, 9994000, 5199000, 6613000, 8489000], dtype=object), 'Rajasthan': array([197558000, 230209000, 1019861000, 73076000, 128957000, 174862000,
       145957000, 258356000, 595476000, 271934000, 488730000, 397016000],
      dtype=object)}",[2.89 0.8]
"[489261000 269747000 407078000 76545000 309726000 482520000 371259000
 313310000 97379000 307020000 51510000 316180000]","{'Madhya Pradesh': array([15461000, 12325000, 0, 0, 0, 6821000, 10140000, 8407000, 6720000,
       10384000, 9609000, 11665000], dtype=object), 'Rajasthan': array([473800000, 257422000, 407078000, 76545000, 309726000, 475699000,
       361119000, 304903000, 300300000, 86995000, 41901000, 304515000],
      dtype=object)}",[3.3 0.96]
"[316704000 432048000 473384000 224312000 343070000 338498000 475868000
 113686000 322870000 407489000 423052000 503448000]","{'Madhya Pradesh': array([7063000, 8487000, 0, 7873000, 3380000, 6054000, 5875000, 5517000,
       8364000, 18049000, 11336000, 10989000], dtype=object), 'Rajasthan': array([309641000, 423561000, 473384000, 216439000, 339690000, 332444000,
       469993000, 108169000, 314506000, 389440000, 411716000, 492459000],
      dtype=object)}",[3.7199999999999998 0.3]
"[449227000 386387000 331190000 6053000 310572000 531731000 469299000
 378186000 497514000 635507000 503628000 566327000]","{'Madhya Pradesh': array([12596000, 3769000, 620000, 0, 6740000, 7247000, 5856000, 18894000,
       19242000, 16356000, 9024000, 2030000], dtype=object), 'Rajasthan': array([382618000, 382618000, 330570000, 6053000, 303832000, 524484000,
       463443000, 359292000, 478272000, 619151000, 494604000, 564297000],
      dtype=object)}",[4.5 0.66]
"[557146000 381585000 604438000 540430000 278790000 694582000 553098000
 730899000 440998000 615500000 674989000 660082000]","{'Madhya Pradesh': array([2228000, 2134000, 2256000, 4681000, 2670000, 6984000, 7520000,
       8197000, 9156000, 9428000, 9494000, 8084000], dtype=object), 'Rajasthan': array([554918000, 379451000, 602182000, 535749000, 276120000, 687598000,
       545578000, 722702000, 431842000, 606072000, 665495000, 651998000],
      dtype=object)}",[11.02 0.47]
"[736246000 669535000 1021331000 742125000 1015367000 1186670000 1210725000
 491189000 1028635000 1114538000 1460185000 1186919000]","{'Madhya Pradesh': array([9696000, 15397000, 20092000, 19213000, 21413000, 34143000,
       36855000, 34738000, 33996000, 32116000, 52290000, 34988000],
      dtype=object), 'Rajasthan': array([726550000, 654138000, 1001239000, 722912000, 993954000, 1152527000,
       1173870000, 456451000, 994639000, 1082422000, 1407895000,
       1151931000], dtype=object)}",[12.37 0.09]
"[1301830000 939869000 1226484000 968656000 1175919000 880808000 12461000
 9088000 702916000 646002000 855283000 769914000]","{'Madhya Pradesh': array([48500000, 53618000, 80333000, 28218000, 20582000, 22407000,
       18578000, 13610000, 25428000, 20012000, 19648000, 43631000],
      dtype=object), 'Rajasthan': array([1253330000, 886251000, 1146151000, 940438000, 1155337000,
       858401000, 504129000, 98330000, 677488000, 625990000, 835635000,
       726283000], dtype=object)}",[8.88 0.16]
"[919077000 1592653000 1577942000 360802000 913069000 501650000 843292000
 995246000 1039840000 1754105000 1324847000 1197500000]","{'Madhya Pradesh': array([46825000, 39667000, 30079000, 26968000, 16911000, 31163000,
       16994000, 817000, 15054000, 32455000, 43140000, 41323000],
      dtype=object), 'Rajasthan': array([872252000, 1552986000, 1547863000, 333834000, 896158000, 470487000,
       826298000, 994430000, 1024786000, 1721650000, 1281707000,
       1156177000], dtype=object)}",[8.22 0.49]
"[1301709000 1120221000 788079000 811508000 1301709000 1120221000 848247000
 895066000 979934000 0 0 0]","{'Madhya Pradesh': array([82600000, 82878000, 70232000, 14376000, 16416000, 12653000,
       6090000, 9500000, 136191000, 0, 0, 0], dtype=object), 'Rajasthan': array([1219109000, 1037343000, 717847000, 797132000, 490881000, 579185000,
       842157000, 885566000, 843743000, 0, 0, 0], dtype=object)}",[]
